MemberId,TotalLobbiesOpened,TotalPlayerCount,TotalDataUsageMB,TotalPlayTimeMinutes,AvgPlayTimeMinutes,DaysActive,UniqueIPs,AvgLobbiesPerDay,AvgPlayersPerDay,AvgDataPerDayMB
mem_cmhe1nj5a007h0slbdrs2eur9c7d,2,1,0.0000,0.05,0.05,30,4,0.07,0.03,0.0000
mem_cmig0ak4d1ks70sog1xme1ra3fae,2,2,0.0002,0.05,0.03,30,4,0.07,0.07,0.0000
mem_cmksjsi4d3rh20sso1rr50skce7a,2,1,0.0000,0.17,0.06,5,4,0.40,0.20,0.0000
mem_clqwlca070f2z0ts41g6vgj50692,1,1,0.0019,0.10,0.03,2,4,0.50,0.50,0.0010
mem_clu2mmuha0ml80slp8mi46att59a,1,1,0.0000,0.02,0.02,30,4,0.03,0.03,0.0000
mem_cluivaz5e00ro0soy4a224vsn6bc,1,1,0.0000,0.05,0.05,30,4,0.03,0.03,0.0000
mem_cm5pfdvuh0wxp0sq5e6dn29hv771,1,47,0.0093,17.62,0.23,30,4,0.03,1.57,0.0003
mem_cm7xtcp8y003j0sq0he6z1cwm17d,1,1,0.0000,0.02,0.02,30,4,0.03,0.03,0.0000
mem_cm8fncwr507la0wrq2hig4qsaf9b,1,1,0.0000,0.03,0.03,30,4,0.03,0.03,0.0000
mem_cmals5uoj151c0wpm65dc9j5z05c,1,1,0.0000,0.02,0.02,30,4,0.03,0.03,0.0000
mem_cmbv9u44r00sa0wqj6abcfpzs8b6,1,1,0.0001,0.03,0.02,30,4,0.03,0.03,0.0000
mem_cmd4nljaf001o0vpi8dmqg1p8f1f,1,2,0.0043,1101.15,275.29,30,4,0.03,0.07,0.0001
mem_cmdqsadoy00cu0wlq4oldha2h177,1,1,0.0004,0.07,0.03,30,4,0.03,0.03,0.0000
mem_cme31um7701fy0wk56wde2m9u0f2,1,2,0.0101,0.12,0.04,30,4,0.03,0.07,0.0003
mem_cmfwhtdea00120wo53mogcfw8983,1,1,0.0000,0.02,0.02,30,4,0.03,0.03,0.0000
mem_cmg9uevpi00in0sq6h1s79hzmaf6,1,1,0.0000,0.05,0.05,30,4,0.03,0.03,0.0000
mem_cmh97rq9j01p90smxbwxn3kpw513,1,1,0.0025,0.07,0.07,30,4,0.03,0.03,0.0001
mem_cmicevc5k0oo00ros63wk8u79ad7,1,1,0.0001,0.52,0.10,30,4,0.03,0.03,0.0000
mem_cmkjmf0y81tzw0sqj90ly4mnw2ba,1,2,0.0000,0.05,0.02,11,4,0.09,0.18,0.0000
mem_clo6ur64q00xw0s171wa1feklebf,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clobipfhe044e0syib95bc6r4350,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clotacf6p0bsj0to6hraldry25da,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clow1dn8p071h0so6bw7o2cpl146,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clow1j7xq072f0so6bxby2bqhadc,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cloykzhwc0h5f0specgh3gmns923,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clp0iacmn0gbd0sm7gp7i07r9bd3,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clp2skq6402xm0su26mwdazspb43,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clp45eiwb0bh70su2agp53doc75f,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clpagv9q4039s0sou5k6s8hdib7a,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clpalbt3100i10rpn551qdekob18,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clpbpjxir092p0snrclbd60s5aea,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clpbs87o709ky0snr59s9hsplde9,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clpfftpzn0cbq0rp4ak0p3qha950,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clplymrud00o20ss69sxgbfjn8b3,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clpmqj997038b0ss66hq35ccw887,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clpobkswo05vj0tt96h6v8ocy6b1,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clpowzv4w09fu0stzc066229pc3b,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clpphln440bk10stz390a4fln9d1,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clpri230i0puo0rudg8vz8l417fd,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clps4t9ev036h0rqf7j074so85ef,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clpse923l05hf0rqf269c55t749e,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clpucw5it0m940rsbbf4fbdfr265,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clpunruf90ne60rsbd8uhdh4j421,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clpw5xatw03bx0sqv3fpv7h2a49d,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clq12dnfg0xbg0sqv1f7k1t8we30,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clq14p2uz0dp80sp05cdm40lp766,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clq56hebz0kh60sri10rh4b8q56a,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clq778x2h0d9o0sqw7cyz9ebs6d1,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clq80uph70gsh0spcbnbm4e86916,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clq89573a0il90snk45h56bzjea4,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clqa496hr0sit0snk0o3n3iba973,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clqcab7ym08cg0rpc1vfx2s7mafa,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clqdcbko00gtf0sqw7ya171h6a23,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clqfg5gtf063l0skfcxl0gojqd5e,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clqhagbll010i0ts73nw4hcdha92,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clqie5c5a070b0ts7e6i30a9i538,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clqivdlzq02dl0spre1ac91kb8bc,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clqj1mj7f02zq0spr0wpod1zq06f,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clqkfwyf4034y0st89wirbnote7b,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clqrvkh8e0qtk0tr27vm3brfkdbf,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clqts63fq04sf0srv8xgo91ez7ab,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clr0gxaw30mqw0ss11d1savez476,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clr2ei80808l90ss2203n7z4298a,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clr3zby3s1hzb0ss1eofn4xeq7c3,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clr4zsjjj1op10sq7f601bweoaef,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clr7m0e6008210ssp88ri3rtl412,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clre9jksw0i9y0so5fpor2536e50,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clrg9zgbn11ss0sry9vw52qno9fc,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clrgk58x3007v0spxdnt9cd2109f,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clrhytvmt019k0soyachh4b483d4,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clri19zn800q40tsd9bqu2yx82c4,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clrjqajqw04xm0srsbczqb18r6ac,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clrplgvxc05kr0rqadormatpaf25,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clrz2kmhx0qq10ssy7rb4cj7d06c,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cls43ocxm0qt40rpx26lj1t8o716,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cls5ti2c41asx0rpxhy34btjt93a,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cls6qvgrv02n30tsl39edbjoc44e,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cls8dhexo0m100tsl0ousfamk353,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cls9u26y301pd0tv5hc75fe4g2ec,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clsa9re5x07eo0stegu0vaddc6e4,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clsc3x48s0ybv0sssd0vc1dtb9f6,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clsd8iqz404p90treb2s59z6p44b,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clsdxja7p00300sswdywz4tg83b1,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clsew62y701h80sul5qdy1r2gcb4,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clsfvni3g008i0sls5mvvgr2abd1,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clsfwwyhq00550tpacfau988oc2d,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clsik2blr017e0spa8q252ajq168,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clsjcoohs06zk0spa6u1fb8yhea4,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clsjy23pn07d20ss0b085ajhi84f,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clski2cr20c5a0sr264r18qvw621,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clsm86h2301su0tny7y6odiwyf27,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clso92l8100o40soja7l3a96r376,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clsoxwt7o05y40soj1h1jcv6ga30,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clsp3tsmv07p20sp0ayt9aocg5bf,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clsquh1d9026d0soj1nxo9vkkc72,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clst2wsx30i5b0tp06jdf9m0bcd6,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clstgs7c600l50sql53ue6jgg2c9,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clstz1a5104bj0spafior4fpyf84,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clswpwr580rxr0srqcw6e1v2zb1f,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clsxchw4n00640rlf9i1ubxy4aa8,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clsxl060704eg0sphfboyfdjg119,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clsz9yxas0cyr0sph44n33pztde1,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clt0fsv3z02cr0so79web0aqie96,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clt0innkc010u0so76cldf87mae7,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clt213s3b07vn0snb6564hykz1ba,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clt52pms106w60rprdwph5iqa569,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clt5zdupo0gyg0rpr547m7o56584,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clt6jtcxl008y0smjh403a35h14f,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clt8dn5gl00be0srqfhc11mfh418,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clt96pqds0o5m0rr38li336czeab,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clt99spsj001d0rrqbzel2hck7a2,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cltabua8g00me0ssm25o5bq69918,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cltblmcc20cf70sr37ar5bexs93e,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cltbrqcp800w10ssm6hkibc7z63c,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cltbxgoce04a00sr344s89nbf039,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cltdtd3sv00gz0spkh32a7oi67b0,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cltihsbi401qj0tlxatmten64483,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cltis437b08jh0sotcwkm4sx09d7,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cltj5jlfb04c40rn56q1w2kq3d58,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cltk4pcrs0co50snw4ytpg95g0fd,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cltkb1bue04qa0sn5ey9l60obc73,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cltme45wj093o0rn54e8tg8sg2a3,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cltmfdysf09e50rn5ddw8cvy5d06,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cltmz5au618aa0snwfv3ob5aeceb,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cltnab9wk03gn0tmpc5kl2gp7a73,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cltqgxpnm063s0snme1hs7wurc90,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cltqwfdyz00ge0sog46mwbtew31e,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cltrd68o80gtn0sr0at9r74dq025,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cltrnw6ti06wz0snmdesxgmfg86c,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cltt61asw0bdz0sr0d8ob9kxdd8e,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cltukg7up05ez0sq23olqdpz84ca,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cltwf32yc0pks0snm4265e1src21,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cltwl68iw0qsb0snmevbi6vq635d,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cltxuddjo08860toz7kvq70dr802,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clu09gw8p011x0spo831oh97xdb0,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clu4s70em0b7w0sljejei230u660,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clu4vriut007u0spx8cel3vmg0ab,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clu77iggq001r0ssvclve4cba70f,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clu94g9cf00bq0slif5811wae97d,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clu9nc94700g40slielyy9eet5a9,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clua37jd80rfq0spuetithdw460b,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clubm69ay0gnn0spb7g0w4zobe8c,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_cluh95bx900bi0rou41oad71y077,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
mem_clun7x45y15ne0soy8j1sefaw027,0,0,0.0000,0.00,0.00,30,4,0.00,0.00,0.0000
